Site Name,Hog Park Reservoir-RTPD,,,,Date,6/30/2022,
Date Time,Depth (m),Temp (°C),pH (SU),Spc. Cond. (µS/cm),RDO (mg/L),RDO (%Sat),ORP (mV)
10:33:00 AM,8.187522,7.949503,6.573682,20.30843,4.508411,51.17269,144.7149
10:33:00 AM,8.119586,7.986357,6.573423,20.33136,4.51141,51.24659,144.6855
10:34:00 AM,7.492865,8.656339,6.549695,20.4939,4.594909,53.06393,145.0837
10:34:00 AM,7.419703,8.724921,6.547659,20.51993,4.602933,53.24336,145.1088
10:34:00 AM,6.812363,9.394656,6.547202,20.74037,4.708957,55.36866,144.5651
10:34:00 AM,6.740127,9.473654,6.546354,20.76411,4.720708,55.60893,144.5329
10:34:00 AM,6.427426,10.30095,6.550901,20.76743,4.966426,59.68114,142.8481
10:34:00 AM,6.38033,10.39329,6.551263,20.77531,4.990664,60.09546,142.6883
10:34:00 AM,5.772393,11.74793,6.534041,22.1052,4.978511,62.95573,141.2582
10:34:00 AM,5.071402,12.91224,6.515117,22.21349,5.182591,66.98531,140.9468
10:34:00 AM,4.990863,13.05579,6.51291,22.26337,5.200071,67.42511,140.8781
10:34:00 AM,4.315271,14.07505,6.514925,23.65288,5.334899,70.04917,139.2936
10:34:00 AM,4.233787,14.20031,6.514521,23.77646,5.353561,70.40668,139.1468
10:34:00 AM,3.540143,14.96317,6.508639,22.63585,5.726608,76.56818,138.5187
10:34:00 AM,3.457227,15.0629,6.508227,22.58173,5.763821,77.19464,138.4099
10:34:00 AM,2.741198,15.77559,6.49421,19.33574,6.003219,81.67654,138.5585
