Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Boysen Reservoir - TPD,,,,,,,,,
,,0.0361946,,20.4755,8.136605,393.5578,6.972986,92.57118,-3.310591
,,0,,20.49955,8.134536,393.5233,6.975843,92.65326,-3.201133
,,,,,,,,,
,7/21/2021,16.013065,1014,19.16145,8.251488,494.9623,3.388696,43.51453,-7.808514
,,16.012545,,19.16129,8.251366,494.968,3.388353,43.51006,-7.778653
,,15.989405,,19.16011,8.248375,494.8762,3.391522,43.54528,-7.556699
,,15.987965,,19.15997,8.248196,494.8746,3.391567,43.54554,-7.537009
,,15.986535,,19.15983,8.248017,494.873,3.391611,43.5458,-7.517319
,,15.985105,,19.15969,8.247838,494.8715,3.391655,43.54605,-7.497629
,,15.439035,,19.15984,8.235337,494.8637,3.392226,43.55349,-6.74496
,,15.412625,,19.15982,8.23468,494.8615,3.392317,43.55455,-6.704441
,,15.386215,,19.15981,8.234024,494.8593,3.392408,43.5556,-6.663921
,,14.800435,,19.20051,8.210243,494.2718,3.38486,43.49778,-5.034364
,,14.761505,,19.20247,8.208854,494.2434,3.38451,43.49515,-4.941041
,,14.722565,,19.20442,8.207463,494.2151,3.384159,43.49252,-4.847719
