Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,,
Boysen Reservoir - RPD,,,,,,,,,,,
,,-2E-07,,19.91883,7.986208,315.6192,6.724227,88.28677,3.254163,,
,,,,,,,,,,,
,7/21/2021,11.958614,1053,19.85502,8.217074,486.0977,3.314024,43.17075,10.47499,,
,,11.960934,,19.847,8.214328,486.209,3.313559,43.15769,10.15896,,
,,11.970134,,19.84478,8.216061,487.4336,3.243981,42.24965,0.8154306,,
,,11.970584,,19.84133,8.214997,487.542,3.240272,42.19835,0.235403,,
,,11.971034,,19.83788,8.213934,487.6504,3.236563,42.14705,-0.3446247,,
,,11.971484,,19.83443,8.21287,487.7588,3.232854,42.09574,-0.9246523,,
,,11.447654,,19.8066,8.213394,488.0364,3.131721,40.75661,-3.600737,,
,,11.422914,,19.80509,8.213408,488.0769,3.125449,40.67373,-3.927276,,
,,11.398174,,19.80358,8.213421,488.1175,3.119178,40.59085,-4.253816,,
,,11.065904,,19.95095,8.199715,487.8869,3.09022,40.33332,-3.565199,,
,,11.039604,,19.95724,8.199055,487.8837,3.086737,40.29308,-3.597157,,
,,11.013294,,19.96354,8.198395,487.8806,3.083254,40.25284,-3.629116,,
,,10.515524,,20.09141,8.223092,483.2411,3.136334,41.05167,-3.470748,,
,,10.485194,,20.10032,8.22401,483.0156,3.138255,41.0841,-3.453922,,
,,10.454864,,20.10923,8.224928,482.7901,3.140176,41.11654,-3.437096,,
,,10.424534,,20.11815,8.225846,482.5646,3.142097,41.14897,-3.42027,,
,,9.958444,,20.45957,8.277067,480.5212,3.395637,44.77849,-2.093598,,
,,9.926274,,20.47834,8.279985,480.3322,3.408701,44.96634,-2.027845,,
,,9.894114,,20.49711,8.282904,480.1432,3.421765,45.15418,-1.962093,,
,,9.496714,,20.809,8.32708,479.7251,3.842108,51.02671,-1.329287,,
,,9.468844,,20.83037,8.330153,479.6655,3.866787,51.37326,-1.273388,,
,,9.440984,,20.85174,8.333226,479.6059,3.891466,51.7198,-1.217489,,
,,9.413124,,20.87311,8.336299,479.5463,3.916145,52.06635,-1.161589,,
,,9.205654,,21.19929,8.409664,478.8905,4.359418,58.34658,-0.8825505,,
,,9.187934,,21.22086,8.414001,478.8501,4.388547,58.7577,-0.856517,,
,,9.170214,,21.24243,8.418337,478.8098,4.417676,59.16882,-0.8304835,,
,,8.738394,,21.35858,8.45817,477.4234,4.649289,62.41554,0.5085305,,
,,8.713354,,21.37052,8.461521,477.3428,4.669044,62.69377,0.5792878,,
,,8.688314,,21.38247,8.464872,477.2623,4.688799,62.972,0.650045,,
,,8.663274,,21.39441,8.468224,477.1817,4.708554,63.25023,0.7208022,,
,,8.253564,,21.58442,8.513009,475.1817,5.108103,68.88197,1.893107,,
,,8.225204,,21.59593,8.515979,475.0585,5.131919,69.21732,1.976268,,
,,8.196834,,21.60744,8.51895,474.9354,5.155736,69.55266,2.059428,,
,,7.800194,,21.80015,8.534393,474.2412,5.516277,74.70017,3.074612,,
,,7.773634,,21.8129,8.536036,474.1688,5.540947,75.0509,3.145083,,
,,7.747084,,21.82565,8.537679,474.0964,5.565617,75.40163,3.215554,,
,,7.720524,,21.83839,8.539322,474.024,5.590287,75.75235,3.286025,,
,,7.488184,,21.94089,8.545072,473.4258,5.948508,80.77258,4.220701,,
,,7.469484,,21.94946,8.545672,473.383,5.972373,81.10882,4.284623,,
,,7.450794,,21.95802,8.546273,473.3402,5.996237,81.44505,4.348544,,
,,7.051664,,22.02765,8.537148,472.9149,6.136137,83.45953,5.591614,,
,,7.028344,,22.03293,8.536841,472.8828,6.149698,83.6521,5.668358,,
,,7.005024,,22.0382,8.536535,472.8506,6.163259,83.84466,5.745102,,
,,6.981714,,22.04347,8.536228,472.8185,6.176819,84.03722,5.821846,,
,,6.514634,,22.1075,8.512713,472.3812,6.413422,87.37298,7.793811,,
,,6.484614,,22.11195,8.51143,472.3519,6.427538,87.57281,7.91178,,
,,6.454604,,22.1164,8.510145,472.3225,6.441654,87.77264,8.029749,,
,,6.227064,,22.16565,8.499653,471.9651,6.612036,90.17319,8.796754,,
,,6.206934,,22.16929,8.498693,471.9392,6.624923,90.35479,8.872458,,
,,6.186814,,22.17294,8.497734,471.9134,6.637809,90.53639,8.948162,,
,,6.166684,,22.17658,8.496775,471.8875,6.650695,90.71799,9.023866,,
,,5.673564,,22.18743,8.476961,472.0465,6.708695,92.26659,10.63528,,
,,5.645514,,22.189,8.475804,472.0462,6.71507,92.39051,10.72775,,
,,5.617474,,22.19057,8.474648,472.046,6.721446,92.51443,10.82023,,
,,5.111764,,22.2422,8.44714,471.6233,6.815428,93.18023,12.62595,,
,,5.077904,,22.2449,8.445436,471.6061,6.8212,93.24473,12.74405,,
,,5.044044,,22.24761,8.443734,471.5888,6.826972,93.30923,12.86215,,
,,5.010184,,22.25032,8.442031,471.5716,6.832744,93.37373,12.98025,,
