"","WaterbodyName","Latitude","Longitude","Year","DrainageArea_ha","month","TN_load_kg","TP_load_kg","NH4_load_kg","NO3_load_kg","PO4_load_kg","TN_flux_kg_ha","TP_flux_kg_ha","NH4_flux_kg_ha","NO3_flux_kg_ha","PO4_flux_kg_ha","TotalTrib_TN_kg","TotalTrib_TP_kg","TotalTrib_NH4_kg","TotalTrib_NO3_kg","TotalTrib_PO4_kg"
"89","Fivemile Creek",43.22191667,-108.2196944,2023,108261.582,"Aug",32083.1881470021,7583.29901656414,NA,11579.1142675999,2770.82079451382,0.296348783698747,0.0700460761469765,NA,0.10695497011673,0.0255937585921645,82370.6629126155,20833.5212911573,NA,19398.2898916467,4260.88167841445
"90","Fivemile Creek",43.22191667,-108.2196944,2023,108261.582,"Oct",NA,NA,888.431850627838,18131.262257711,90.6563112885549,NA,NA,0.00820634461657726,0.167476420746475,0.000837382103732373,NA,NA,2368.21075087929,28692.1315584237,567.300093971634
"91","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Jan",681.084194975658,NA,4.00637761750387,596.950265008077,NA,0.0079207194568372,NA,4.659246739316e-05,0.00694227764158084,NA,21031.8357229414,NA,848.424367064998,15100.3877188958,NA
"92","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Feb",669.948206498006,NA,4.46632137665337,518.093279691791,2.23316068832669,0.00779121264805095,NA,5.1941417653673e-05,0.00602520444782607,2.59707088268365e-05,24029.4203331812,NA,1623.72784176819,15427.8037309411,733.750746825218
"93","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Mar",1028.45762300365,7.34612587859753,22.0383776357926,763.997091374143,3.67306293929876,0.0119605246534149,8.54323189529634e-05,0.00025629695685889,0.00888496117110819,4.27161594764817e-05,32900.9025535879,2215.21679301842,2611.47453343749,17325.5092510428,796.49629272772
"94","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Apr",4411.59689906406,1745.45790354274,NA,189.890475220584,11.5085136497323,0.0513049952589023,0.0202989329067831,NA,0.00220834544810058,0.000133839118066702,35476.0288889561,7892.21764603216,NA,4827.74079884876,526.994504665205
"95","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"May",NA,533.209784134729,NA,NA,16.22812386497,NA,0.00620100296399164,NA,NA,0.000188726177164963,NA,19717.284729414,NA,NA,6356.07213408045
"96","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Jun",3086.89619697492,1052.35097624145,NA,245.548561123005,24.5548561123005,0.0358992896164474,0.0122383941874252,NA,0.00285562531039922,0.000285562531039922,NA,55144.8287034786,NA,NA,8100.43785317702
"97","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Jul",4400.18584911747,1701.40519499209,29.3345723274498,988.575087435057,70.4029735858794,0.0511722896022423,0.0197866186462004,0.000341148597348282,0.0114967077306371,0.000818756633635877,114673.356239128,21254.8900976393,3255.12930245678,32962.8628356127,9667.51557935378
"98","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Aug",2286.79635021451,392.022231465345,NA,483.494085473925,16.3342596443894,0.0265944687581772,0.00455905178711608,NA,0.00562283053744317,0.000189960491129837,NA,5836.19275160816,NA,NA,1697.44567710414
"99","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Sep",1931.20568113704,257.494090818272,NA,844.580617883933,10.2997636327309,0.0224591005437785,0.00299454673917046,NA,0.00982211330447911,0.000119781869566818,46425.8338125885,5471.58158999416,NA,19563.6777111414,1011.47280337414
"100","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Oct",728.860899210279,NA,NA,504.736172703118,NA,0.00847634220305031,NA,NA,0.00586986697561234,NA,NA,NA,NA,NA,NA
"101","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Nov",1030.72053000153,57.9780298125859,NA,715.062367688559,NA,0.0119868412991678,0.000674259823078187,NA,0.00831587115129764,NA,NA,3528.50375122406,NA,NA,NA
"102","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Dec",600.852219229816,NA,NA,520.738589999174,NA,0.00698765570930259,NA,NA,0.00605596828139558,NA,29590.9713729262,NA,NA,15060.3401463511,NA
"103","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Jan",391.863795968322,NA,NA,333.084226573074,NA,0.0045572092496836,NA,NA,0.00387362786223106,NA,24508.8911473143,NA,NA,16112.2106949541,NA
"104","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Feb",453.622775749132,2.26811387874566,NA,381.043131629271,NA,0.00527543991248991,2.63771995624496e-05,NA,0.00443136952649153,NA,24892.3239114768,1658.91613829699,NA,13620.4602424991,NA
"105","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Mar",868.116098941487,53.42252916563,13.3556322914075,313.857358848076,NA,0.0100958209372708,0.000621281288447431,0.000155320322111858,0.00365002756962866,NA,39926.7870830225,4563.76905947022,NA,13798.3985319237,NA
"106","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Apr",1582.40357301734,998.131484518628,NA,370.038989382516,26.7791373895242,0.0184026804054895,0.0116078445634626,NA,0.0043033960332837,0.000311429976092899,NA,4279.33622910401,NA,NA,364.034258439636
"107","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"May",NA,201.582764044621,NA,NA,NA,NA,0.00234432179326716,NA,NA,NA,NA,69201.6820399272,NA,NA,NA
"108","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Jun",2238.67180804779,600.056360920026,NA,115.395454023082,80.7768178161574,0.0260348008047827,0.00697840021571496,NA,0.00134200004148365,0.000939400029038552,147995.632240238,60723.64287938,NA,23436.608345404,9087.24317097202
"109","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Jul",2068.87952657032,362.053917149806,NA,805.138949090283,77.582982246387,0.0240601888002163,0.00421053304003786,NA,0.00936342347475085,0.000902257080008112,NA,28010.2004056896,NA,NA,2541.29336954745
"110","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Aug",5197.69252821938,2259.86631661712,NA,571.746178104131,47.4571926489595,0.0604469530237682,0.0262812839233775,NA,0.0066491648326145,0.000551906962390927,51731.9984070244,11105.4881530167,NA,16101.3895505075,2157.48913930189
"111","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Sep",2915.64524201914,1044.77287839019,NA,1163.82839243931,21.8673393151436,0.0339077138598426,0.0121502641331103,NA,0.0135348291157205,0.000254307853948819,NA,4843.9920826411,NA,NA,NA
"112","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Oct",1098.38529009847,11.5619504220891,NA,849.80335602355,NA,0.0127737536747533,0.000134460564997403,NA,0.00988285152730913,NA,42473.5752836712,5841.34009562516,NA,14363.0789669682,NA
"113","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Nov",730.417007851992,4.29657063442348,NA,571.443894378323,NA,0.0084944390845905,4.99672887328853e-05,NA,0.00664564940147374,NA,21142.5134799779,993.65631386938,NA,9028.60456916016,NA
"114","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Dec",583.37870433853,NA,NA,487.121218122673,NA,0.00678444616428638,NA,NA,0.00566501254717912,NA,21825.8100106211,NA,NA,13872.8514528887,NA
"115","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Jan",619.101107841377,NA,8.84430154059109,527.709991921935,NA,0.00719988252084446,NA,0.000102855464583492,0.00613704272014837,NA,25185.0290340836,NA,NA,12123.6856372655,NA
"116","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Feb",581.441384573264,NA,NA,489.094811729275,NA,0.00676191595954509,NA,NA,0.0056879646012644,NA,25621.4823916449,NA,NA,12128.5135903832,NA
"117","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Mar",745.441414027439,17.202494169864,11.468329446576,488.550834424137,NA,0.00866916653708342,0.00020005768931731,0.000133371792878206,0.0056816383766116,NA,31870.8629761518,3836.24213913411,NA,10600.9268835002,NA
"118","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Apr",5356.39304461845,1208.62202032416,109.874729120378,314.516412107083,NA,0.0622925725188692,0.0140557599529756,0.00127779635936142,0.00365769207867206,NA,21944.4151437636,3827.90782385449,NA,5061.63634281823,NA
"119","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"May",1321.4432656031,501.237100746004,NA,141.257728392056,11.3917522896819,0.0153678230418239,0.00582917425724354,NA,0.00164276729067772,0.000132481233119171,NA,8143.6373587751,NA,NA,520.039313328225
"120","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Jun",1746.51466163972,264.008030247864,40.6166200381329,560.509356526235,16.2466480152532,0.0203112225539099,0.00307030108373057,0.000472354012881626,0.00651848537776643,0.00018894160515265,NA,38801.1285624343,NA,NA,6888.6561518071
"121","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Jul",1878.25281719857,375.650563439714,NA,481.51572222727,29.0275435385233,0.021843281262129,0.0043686562524258,NA,0.00559982301447307,0.000337577983141994,NA,8923.72573535591,NA,NA,3491.77696269161
"122","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Aug",2944.01959921313,824.325487779675,58.8803919842625,1002.92934346527,39.253594656175,0.0342376955636607,0.00958655475782498,0.000684753911273213,0.0116636416220204,0.000456502607515475,46281.8893255946,11517.9533646736,NA,17434.1403095224,2449.64323559575
"123","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Sep",3290.90371761269,793.688543659531,NA,813.046800821959,11.6149542974566,0.0382718102974102,0.00923026013055188,NA,0.009455388426419,0.000135076977520271,NA,4611.33827721808,NA,NA,1552.26829329367
